scenario,policy,benchmark,placement_tag,repeat,thread_slot,thread_tid,thread_pid,total_runtime_ms,ccd0_pct,ccd1_pct,ccd2_pct,ccd3_pct,other_pct,core_pct_map
busy-cores,same-chiplet,pr,taskset-21-27,4,worker-2,52147,52144,4045.449000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,taskset-21-27,5,master,52400,52400,3875.787000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,pr,taskset-21-27,5,worker-1,52402,52400,3699.763000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,pr,taskset-21-27,5,worker-2,52403,52400,3692.249000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,taskset-7-13,1,master,49328,49328,2719.402000,0.00,100.00,0.00,0.00,0.00,7:100.00
busy-cores,same-chiplet,pr,taskset-7-13,1,worker-1,49330,49328,2619.526000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,same-chiplet,pr,taskset-7-13,1,worker-2,49331,49328,2612.073000,0.00,100.00,0.00,0.00,0.00,9:100.00
busy-cores,same-chiplet,pr,taskset-7-13,2,master,49372,49372,2729.845000,0.00,100.00,0.00,0.00,0.00,7:100.00
busy-cores,same-chiplet,pr,taskset-7-13,2,worker-1,49374,49372,2625.730000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,same-chiplet,pr,taskset-7-13,2,worker-2,49375,49372,2621.572000,0.00,100.00,0.00,0.00,0.00,9:100.00
busy-cores,same-chiplet,pr,taskset-7-13,3,master,49693,49693,2698.548000,0.00,100.00,0.00,0.00,0.00,7:100.00
busy-cores,same-chiplet,pr,taskset-7-13,3,worker-1,49699,49693,2600.243000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,same-chiplet,pr,taskset-7-13,3,worker-2,49700,49693,2600.892000,0.00,100.00,0.00,0.00,0.00,9:100.00
busy-cores,same-chiplet,pr,taskset-7-13,4,master,50351,50351,2758.951000,0.00,100.00,0.00,0.00,0.00,"7:99.90, 8:0.10"
busy-cores,same-chiplet,pr,taskset-7-13,4,worker-1,50353,50351,2660.752000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,same-chiplet,pr,taskset-7-13,4,worker-2,50354,50351,2655.958000,0.00,100.00,0.00,0.00,0.00,9:100.00
busy-cores,same-chiplet,pr,taskset-7-13,5,master,50399,50399,2715.480000,0.00,100.00,0.00,0.00,0.00,7:100.00
busy-cores,same-chiplet,pr,taskset-7-13,5,worker-1,50401,50399,2619.391000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,same-chiplet,pr,taskset-7-13,5,worker-2,50402,50399,2613.723000,0.00,100.00,0.00,0.00,0.00,9:100.00
free-cores,eevdf,bfs,,1,master,296542,296542,2558.492000,100.00,0.00,0.00,0.00,0.00,4:100.00
free-cores,eevdf,bfs,,1,worker-1,296544,296542,2552.443000,0.00,100.00,0.00,0.00,0.00,13:100.00
free-cores,eevdf,bfs,,1,worker-2,296545,296542,2546.534000,0.00,0.00,100.00,0.00,0.00,20:100.00
free-cores,eevdf,bfs,,2,master,296582,296582,2437.423000,100.00,0.00,0.00,0.00,0.00,4:100.00
free-cores,eevdf,bfs,,2,worker-1,296584,296582,2546.667000,0.00,100.00,0.00,0.00,0.00,13:100.00
free-cores,eevdf,bfs,,2,worker-2,296585,296582,2545.742000,0.00,0.00,100.00,0.00,0.00,20:100.00
free-cores,eevdf,bfs,,3,master,296623,296623,2410.063000,100.00,0.00,0.00,0.00,0.00,4:100.00
free-cores,eevdf,bfs,,3,worker-1,296625,296623,2539.563000,0.00,0.00,100.00,0.00,0.00,20:100.00
free-cores,eevdf,bfs,,3,worker-2,296626,296623,2532.031000,0.00,100.00,0.00,0.00,0.00,12:100.00
free-cores,eevdf,bfs,,4,master,296665,296665,1990.004000,100.00,0.00,0.00,0.00,0.00,4:100.00
free-cores,eevdf,bfs,,4,worker-1,296667,296665,2567.889000,0.00,100.00,0.00,0.00,0.00,13:100.00
free-cores,eevdf,bfs,,4,worker-2,296668,296665,2566.941000,0.00,0.00,100.00,0.00,0.00,20:100.00
free-cores,eevdf,bfs,,5,master,296700,296700,2623.206000,100.00,0.00,0.00,0.00,0.00,4:100.00
free-cores,eevdf,bfs,,5,worker-1,296705,296700,2597.729000,0.00,0.00,100.00,0.00,0.00,20:100.00
free-cores,eevdf,bfs,,5,worker-2,296706,296700,3140.566000,0.00,0.00,0.00,100.00,0.00,27:100.00
free-cores,optimal,bfs,,1,master,297644,297644,1612.085000,99.78,0.00,0.00,0.00,0.22,"4:99.78, 118:0.22"
free-cores,optimal,bfs,,1,worker-1,297646,297644,2372.387000,100.00,0.00,0.00,0.00,0.00,5:100.00
free-cores,optimal,bfs,,1,worker-2,297647,297644,2370.490000,100.00,0.00,0.00,0.00,0.00,6:100.00
free-cores,optimal,bfs,,2,master,297693,297693,2208.068000,99.87,0.00,0.00,0.00,0.13,"4:99.87, 132:0.13"
free-cores,optimal,bfs,,2,worker-1,297697,297693,2377.031000,100.00,0.00,0.00,0.00,0.00,5:100.00
free-cores,optimal,bfs,,2,worker-2,297698,297693,2370.830000,100.00,0.00,0.00,0.00,0.00,6:100.00
free-cores,optimal,bfs,,3,master,297731,297731,1884.705000,99.85,0.00,0.00,0.00,0.15,"4:99.85, 132:0.15"
free-cores,optimal,bfs,,3,worker-1,297740,297731,2393.795000,100.00,0.00,0.00,0.00,0.00,5:100.00
free-cores,optimal,bfs,,3,worker-2,297741,297731,2380.587000,100.00,0.00,0.00,0.00,0.00,6:100.00
free-cores,optimal,bfs,,4,master,297776,297776,1849.652000,99.82,0.00,0.00,0.00,0.18,"4:99.82, 132:0.18"
